# go_source_id	status	crystal_refs	notes
set.go::method::Blink	missing	TODO	baseline
set.go::method::Bold	missing	TODO	baseline
set.go::method::Border	missing	TODO	baseline
set.go::method::BorderBackground	missing	TODO	baseline
set.go::method::BorderBottom	missing	TODO	baseline
set.go::method::BorderBottomBackground	missing	TODO	baseline
set.go::method::BorderBottomForeground	missing	TODO	baseline
set.go::method::BorderForeground	missing	TODO	baseline
set.go::method::BorderForegroundBlend	missing	TODO	baseline
set.go::method::BorderForegroundBlendOffset	missing	TODO	baseline
set.go::method::BorderLeft	missing	TODO	baseline
set.go::method::BorderLeftBackground	missing	TODO	baseline
set.go::method::BorderLeftForeground	missing	TODO	baseline
set.go::method::BorderRight	missing	TODO	baseline
set.go::method::BorderRightBackground	missing	TODO	baseline
set.go::method::BorderRightForeground	missing	TODO	baseline
set.go::method::BorderStyle	missing	TODO	baseline
set.go::method::BorderTop	missing	TODO	baseline
set.go::method::BorderTopBackground	missing	TODO	baseline
set.go::method::BorderTopForeground	missing	TODO	baseline
set.go::method::ColorWhitespace	missing	TODO	baseline
set.go::method::Faint	missing	TODO	baseline
set.go::method::Foreground	missing	TODO	baseline
set.go::method::Height	missing	TODO	baseline
set.go::method::Hyperlink	missing	TODO	baseline
set.go::method::Inline	missing	TODO	baseline
set.go::method::Italic	missing	TODO	baseline
set.go::method::Margin	missing	TODO	baseline
set.go::method::MarginBackground	missing	TODO	baseline
set.go::method::MarginBottom	missing	TODO	baseline
set.go::method::MarginChar	missing	TODO	baseline
set.go::method::MarginLeft	missing	TODO	baseline
set.go::method::MarginRight	missing	TODO	baseline
set.go::method::MarginTop	missing	TODO	baseline
set.go::method::MaxHeight	missing	TODO	baseline
set.go::method::MaxWidth	missing	TODO	baseline
set.go::method::Padding	missing	TODO	baseline
set.go::method::PaddingBottom	missing	TODO	baseline
set.go::method::PaddingChar	missing	TODO	baseline
set.go::method::PaddingLeft	missing	TODO	baseline
set.go::method::PaddingRight	missing	TODO	baseline
set.go::method::PaddingTop	missing	TODO	baseline
set.go::method::Reverse	missing	TODO	baseline
set.go::method::Strikethrough	missing	TODO	baseline
set.go::method::StrikethroughSpaces	missing	TODO	baseline
set.go::method::TabWidth	missing	TODO	baseline
set.go::method::Transform	missing	TODO	baseline
set.go::method::Underline	missing	TODO	baseline
set.go::method::UnderlineColor	missing	TODO	baseline
set.go::method::UnderlineSpaces	missing	TODO	baseline
set.go::method::UnderlineStyle	missing	TODO	baseline
set.go::method::Width	missing	TODO	baseline
size.go::func::Height	missing	TODO	baseline
size.go::func::Size	missing	TODO	baseline
size.go::func::Width	missing	TODO	baseline
style.go::func::NewStyle	missing	TODO	baseline
style.go::method::Copy	missing	TODO	baseline
style.go::method::Inherit	missing	TODO	baseline
style.go::method::Render	missing	TODO	baseline
style.go::method::SetString	missing	TODO	baseline
style.go::method::String	missing	TODO	baseline
style.go::method::Value	missing	TODO	baseline
style.go::type::Style	missing	TODO	baseline
style.go::type::Underline	missing	TODO	baseline
table/rows.go::func::DataToMatrix	missing	TODO	baseline
table/rows.go::func::NewFilter	missing	TODO	baseline
table/rows.go::func::NewStringData	missing	TODO	baseline
table/rows.go::method::Append	missing	TODO	baseline
table/rows.go::method::At	missing	TODO	baseline
table/rows.go::method::Columns	missing	TODO	baseline
table/rows.go::method::Filter	missing	TODO	baseline
table/rows.go::method::Item	missing	TODO	baseline
table/rows.go::method::Rows	missing	TODO	baseline
table/rows.go::type::Data	missing	TODO	baseline
table/rows.go::type::Filter	missing	TODO	baseline
table/rows.go::type::StringData	missing	TODO	baseline
table/table.go::func::DefaultStyles	missing	TODO	baseline
table/table.go::func::New	missing	TODO	baseline
table/table.go::method::BaseStyle	missing	TODO	baseline
table/table.go::method::Border	missing	TODO	baseline
table/table.go::method::BorderBottom	missing	TODO	baseline
table/table.go::method::BorderColumn	missing	TODO	baseline
table/table.go::method::BorderHeader	missing	TODO	baseline
table/table.go::method::BorderLeft	missing	TODO	baseline
table/table.go::method::BorderRight	missing	TODO	baseline
table/table.go::method::BorderRow	missing	TODO	baseline
table/table.go::method::BorderStyle	missing	TODO	baseline
table/table.go::method::BorderTop	missing	TODO	baseline
table/table.go::method::ClearRows	missing	TODO	baseline
table/table.go::method::Data	missing	TODO	baseline
table/table.go::method::FirstVisibleRowIndex	missing	TODO	baseline
table/table.go::method::GetBorderBottom	missing	TODO	baseline
table/table.go::method::GetBorderColumn	missing	TODO	baseline
table/table.go::method::GetBorderHeader	missing	TODO	baseline
table/table.go::method::GetBorderLeft	missing	TODO	baseline
table/table.go::method::GetBorderRight	missing	TODO	baseline
table/table.go::method::GetBorderRow	missing	TODO	baseline
table/table.go::method::GetBorderTop	missing	TODO	baseline
table/table.go::method::GetData	missing	TODO	baseline
table/table.go::method::GetHeaders	missing	TODO	baseline
table/table.go::method::GetHeight	missing	TODO	baseline
table/table.go::method::GetYOffset	missing	TODO	baseline
table/table.go::method::Headers	missing	TODO	baseline
table/table.go::method::Height	missing	TODO	baseline
table/table.go::method::LastVisibleRowIndex	missing	TODO	baseline
table/table.go::method::Render	missing	TODO	baseline
table/table.go::method::Row	missing	TODO	baseline
table/table.go::method::Rows	missing	TODO	baseline
table/table.go::method::String	missing	TODO	baseline
table/table.go::method::StyleFunc	missing	TODO	baseline
table/table.go::method::VisibleRows	missing	TODO	baseline
table/table.go::method::Width	missing	TODO	baseline
table/table.go::method::Wrap	missing	TODO	baseline
table/table.go::method::YOffset	missing	TODO	baseline
table/table.go::type::StyleFunc	missing	TODO	baseline
table/table.go::type::Table	missing	TODO	baseline
tree/children.go::func::NewFilter	missing	TODO	baseline
tree/children.go::func::NewStringData	missing	TODO	baseline
tree/children.go::method::Append	missing	TODO	baseline
tree/children.go::method::At	missing	TODO	baseline
tree/children.go::method::Filter	missing	TODO	baseline
tree/children.go::method::Length	missing	TODO	baseline
tree/children.go::method::Remove	missing	TODO	baseline
tree/children.go::type::Children	missing	TODO	baseline
tree/children.go::type::Filter	missing	TODO	baseline
tree/children.go::type::NodeChildren	missing	TODO	baseline
tree/enumerator.go::func::DefaultEnumerator	missing	TODO	baseline
tree/enumerator.go::func::DefaultIndenter	missing	TODO	baseline
tree/enumerator.go::func::RoundedEnumerator	missing	TODO	baseline
tree/enumerator.go::type::Enumerator	missing	TODO	baseline
tree/enumerator.go::type::Indenter	missing	TODO	baseline
tree/renderer.go::type::Style	missing	TODO	baseline
tree/renderer.go::type::StyleFunc	missing	TODO	baseline
tree/tree.go::func::New	missing	TODO	baseline
tree/tree.go::func::NewLeaf	missing	TODO	baseline
tree/tree.go::func::Root	missing	TODO	baseline
tree/tree.go::method::Child	missing	TODO	baseline
tree/tree.go::method::Children	missing	TODO	baseline
tree/tree.go::method::Enumerator	missing	TODO	baseline
tree/tree.go::method::EnumeratorStyle	missing	TODO	baseline
tree/tree.go::method::EnumeratorStyleFunc	missing	TODO	baseline
tree/tree.go::method::Hidden	missing	TODO	baseline
tree/tree.go::method::Hide	missing	TODO	baseline
tree/tree.go::method::Indenter	missing	TODO	baseline
tree/tree.go::method::IndenterStyle	missing	TODO	baseline
tree/tree.go::method::IndenterStyleFunc	missing	TODO	baseline
tree/tree.go::method::ItemStyle	missing	TODO	baseline
tree/tree.go::method::ItemStyleFunc	missing	TODO	baseline
tree/tree.go::method::Offset	missing	TODO	baseline
tree/tree.go::method::Root	missing	TODO	baseline
tree/tree.go::method::RootStyle	missing	TODO	baseline
tree/tree.go::method::SetHidden	missing	TODO	baseline
tree/tree.go::method::SetValue	missing	TODO	baseline
tree/tree.go::method::String	missing	TODO	baseline
tree/tree.go::method::Value	missing	TODO	baseline
tree/tree.go::method::Width	missing	TODO	baseline
tree/tree.go::type::Leaf	missing	TODO	baseline
tree/tree.go::type::Node	missing	TODO	baseline
tree/tree.go::type::Tree	missing	TODO	baseline
unset.go::method::UnsetAlign	missing	TODO	baseline
unset.go::method::UnsetAlignHorizontal	missing	TODO	baseline
unset.go::method::UnsetAlignVertical	missing	TODO	baseline
unset.go::method::UnsetBackground	missing	TODO	baseline
unset.go::method::UnsetBlink	missing	TODO	baseline
unset.go::method::UnsetBold	missing	TODO	baseline
unset.go::method::UnsetBorderBackground	missing	TODO	baseline
unset.go::method::UnsetBorderBottom	missing	TODO	baseline
unset.go::method::UnsetBorderBottomBackground	missing	TODO	baseline
unset.go::method::UnsetBorderBottomForeground	missing	TODO	baseline
unset.go::method::UnsetBorderForeground	missing	TODO	baseline
unset.go::method::UnsetBorderForegroundBlend	missing	TODO	baseline
unset.go::method::UnsetBorderForegroundBlendOffset	missing	TODO	baseline
unset.go::method::UnsetBorderLeft	missing	TODO	baseline
unset.go::method::UnsetBorderLeftBackground	missing	TODO	baseline
unset.go::method::UnsetBorderLeftForeground	missing	TODO	baseline
unset.go::method::UnsetBorderRight	missing	TODO	baseline
unset.go::method::UnsetBorderRightBackground	missing	TODO	baseline
unset.go::method::UnsetBorderRightForeground	missing	TODO	baseline
unset.go::method::UnsetBorderStyle	missing	TODO	baseline
unset.go::method::UnsetBorderTop	missing	TODO	baseline
unset.go::method::UnsetBorderTopBackground	missing	TODO	baseline
unset.go::method::UnsetBorderTopBackgroundColor	missing	TODO	baseline
unset.go::method::UnsetBorderTopForeground	missing	TODO	baseline
unset.go::method::UnsetColorWhitespace	missing	TODO	baseline
unset.go::method::UnsetFaint	missing	TODO	baseline
unset.go::method::UnsetForeground	missing	TODO	baseline
unset.go::method::UnsetHeight	missing	TODO	baseline
unset.go::method::UnsetHyperlink	missing	TODO	baseline
unset.go::method::UnsetInline	missing	TODO	baseline
unset.go::method::UnsetItalic	missing	TODO	baseline
unset.go::method::UnsetMarginBackground	missing	TODO	baseline
unset.go::method::UnsetMarginBottom	missing	TODO	baseline
unset.go::method::UnsetMarginLeft	missing	TODO	baseline
unset.go::method::UnsetMarginRight	missing	TODO	baseline
unset.go::method::UnsetMarginTop	missing	TODO	baseline
unset.go::method::UnsetMargins	missing	TODO	baseline
unset.go::method::UnsetMaxHeight	missing	TODO	baseline
unset.go::method::UnsetMaxWidth	missing	TODO	baseline
unset.go::method::UnsetPadding	missing	TODO	baseline
unset.go::method::UnsetPaddingBottom	missing	TODO	baseline
unset.go::method::UnsetPaddingChar	missing	TODO	baseline
unset.go::method::UnsetPaddingLeft	missing	TODO	baseline
unset.go::method::UnsetPaddingRight	missing	TODO	baseline
unset.go::method::UnsetPaddingTop	missing	TODO	baseline
unset.go::method::UnsetReverse	missing	TODO	baseline
unset.go::method::UnsetStrikethrough	missing	TODO	baseline
unset.go::method::UnsetStrikethroughSpaces	missing	TODO	baseline
unset.go::method::UnsetString	missing	TODO	baseline
unset.go::method::UnsetTabWidth	missing	TODO	baseline
unset.go::method::UnsetTransform	missing	TODO	baseline
unset.go::method::UnsetUnderline	missing	TODO	baseline
unset.go::method::UnsetUnderlineSpaces	missing	TODO	baseline
unset.go::method::UnsetWidth	missing	TODO	baseline
whitespace.go::func::WithWhitespaceChars	missing	TODO	baseline
whitespace.go::func::WithWhitespaceStyle	missing	TODO	baseline
whitespace.go::type::WhitespaceOption	missing	TODO	baseline
wrap.go::func::NewWrapWriter	missing	TODO	baseline
wrap.go::func::Wrap	missing	TODO	baseline
wrap.go::method::Close	missing	TODO	baseline
wrap.go::method::Link	missing	TODO	baseline
wrap.go::method::Style	missing	TODO	baseline
wrap.go::method::Write	missing	TODO	baseline
