# go_id	kind	status	crystal_refs	notes
style.go::const::UnderlineDouble	const	missing		auto-generated
style.go::const::UnderlineNone	const	missing		auto-generated
style.go::const::UnderlineSingle	const	missing		auto-generated
style.go::func::NewStyle	func	missing		auto-generated
style.go::method::Style.Copy	method	missing		auto-generated
style.go::method::Style.Inherit	method	missing		auto-generated
style.go::method::Style.Render	method	missing		auto-generated
style.go::method::Style.SetString	method	missing		auto-generated
style.go::method::Style.String	method	missing		auto-generated
style.go::method::Style.Value	method	missing		auto-generated
style.go::struct::Style	struct	missing		auto-generated
style.go::type::Underline	type	missing		auto-generated
style_test.go::test::TestCarriageReturnInRender	test	missing		auto-generated
style_test.go::test::TestCustomPaddingChar	test	missing		auto-generated
style_test.go::test::TestHeight	test	missing		auto-generated
style_test.go::test::TestHyperlink	test	missing		auto-generated
style_test.go::test::TestStrikethrough	test	missing		auto-generated
style_test.go::test::TestStringTransform	test	missing		auto-generated
style_test.go::test::TestStyleCopy	test	missing		auto-generated
style_test.go::test::TestStyleInherit	test	missing		auto-generated
style_test.go::test::TestStyleRender	test	missing		auto-generated
style_test.go::test::TestStyleUnset	test	missing		auto-generated
style_test.go::test::TestStyleValue	test	missing		auto-generated
style_test.go::test::TestTabConversion	test	missing		auto-generated
style_test.go::test::TestUnderline	test	missing		auto-generated
style_test.go::test::TestUnsetHyperlink	test	missing		auto-generated
style_test.go::test::TestValueCopy	test	missing		auto-generated
style_test.go::test::TestWidth	test	missing		auto-generated
table/rows.go::func::DataToMatrix	func	missing		auto-generated
table/rows.go::func::NewFilter	func	missing		auto-generated
table/rows.go::func::NewStringData	func	missing		auto-generated
table/rows.go::method::Filter.At	method	missing		auto-generated
table/rows.go::method::Filter.Columns	method	missing		auto-generated
table/rows.go::method::Filter.Filter	method	missing		auto-generated
table/rows.go::method::Filter.Rows	method	missing		auto-generated
table/rows.go::method::StringData.Append	method	missing		auto-generated
table/rows.go::method::StringData.At	method	missing		auto-generated
table/rows.go::method::StringData.Columns	method	missing		auto-generated
table/rows.go::method::StringData.Item	method	missing		auto-generated
table/rows.go::method::StringData.Rows	method	missing		auto-generated
table/rows.go::struct::Filter	struct	missing		auto-generated
table/rows.go::struct::StringData	struct	missing		auto-generated
table/rows.go::type::Data	type	missing		auto-generated
table/table.go::const::HeaderRow	const	missing		auto-generated
table/table.go::func::DefaultStyles	func	missing		auto-generated
table/table.go::func::New	func	missing		auto-generated
table/table.go::method::Table.BaseStyle	method	missing		auto-generated
table/table.go::method::Table.Border	method	missing		auto-generated
table/table.go::method::Table.BorderBottom	method	missing		auto-generated
table/table.go::method::Table.BorderColumn	method	missing		auto-generated
table/table.go::method::Table.BorderHeader	method	missing		auto-generated
table/table.go::method::Table.BorderLeft	method	missing		auto-generated
table/table.go::method::Table.BorderRight	method	missing		auto-generated
table/table.go::method::Table.BorderRow	method	missing		auto-generated
table/table.go::method::Table.BorderStyle	method	missing		auto-generated
table/table.go::method::Table.BorderTop	method	missing		auto-generated
table/table.go::method::Table.ClearRows	method	missing		auto-generated
table/table.go::method::Table.Data	method	missing		auto-generated
table/table.go::method::Table.FirstVisibleRowIndex	method	missing		auto-generated
table/table.go::method::Table.GetBorderBottom	method	missing		auto-generated
table/table.go::method::Table.GetBorderColumn	method	missing		auto-generated
table/table.go::method::Table.GetBorderHeader	method	missing		auto-generated
table/table.go::method::Table.GetBorderLeft	method	missing		auto-generated
table/table.go::method::Table.GetBorderRight	method	missing		auto-generated
table/table.go::method::Table.GetBorderRow	method	missing		auto-generated
table/table.go::method::Table.GetBorderTop	method	missing		auto-generated
table/table.go::method::Table.GetData	method	missing		auto-generated
table/table.go::method::Table.GetHeaders	method	missing		auto-generated
table/table.go::method::Table.GetHeight	method	missing		auto-generated
table/table.go::method::Table.GetYOffset	method	missing		auto-generated
table/table.go::method::Table.Headers	method	missing		auto-generated
table/table.go::method::Table.Height	method	missing		auto-generated
table/table.go::method::Table.LastVisibleRowIndex	method	missing		auto-generated
table/table.go::method::Table.Render	method	missing		auto-generated
table/table.go::method::Table.Row	method	missing		auto-generated
table/table.go::method::Table.Rows	method	missing		auto-generated
table/table.go::method::Table.String	method	missing		auto-generated
table/table.go::method::Table.StyleFunc	method	missing		auto-generated
table/table.go::method::Table.VisibleRows	method	missing		auto-generated
table/table.go::method::Table.Width	method	missing		auto-generated
table/table.go::method::Table.Wrap	method	missing		auto-generated
table/table.go::method::Table.YOffset	method	missing		auto-generated
table/table.go::struct::Table	struct	missing		auto-generated
table/table.go::type::StyleFunc	type	missing		auto-generated
table/table_test.go::test::TestBorderColumnsWithExtraRows	test	missing		auto-generated
table/table_test.go::test::TestBorderStyles	test	missing		auto-generated
table/table_test.go::test::TestBorderedCells	test	missing		auto-generated
table/table_test.go::test::TestCarriageReturn	test	missing		auto-generated
table/table_test.go::test::TestClearRows	test	missing		auto-generated
table/table_test.go::test::TestContentWrapping	test	missing		auto-generated
table/table_test.go::test::TestContentWrapping_ColumnWidth	test	missing		auto-generated
table/table_test.go::test::TestContentWrapping_WithMargins	test	missing		auto-generated
table/table_test.go::test::TestContentWrapping_WithPadding	test	missing		auto-generated
table/table_test.go::test::TestExtraPaddingHeading	test	missing		auto-generated
table/table_test.go::test::TestExtraPaddingHeadingLong	test	missing		auto-generated
table/table_test.go::test::TestFilter	test	missing		auto-generated
table/table_test.go::test::TestFilterInverse	test	missing		auto-generated
table/table_test.go::test::TestInnerBordersOnly	test	missing		auto-generated
table/table_test.go::test::TestMoreCellsThanHeaders	test	missing		auto-generated
table/table_test.go::test::TestMoreCellsThanHeadersExtra	test	missing		auto-generated
table/table_test.go::test::TestNew	test	missing		auto-generated
table/table_test.go::test::TestNoFinalEmptyRowWhenOverflow	test	missing		auto-generated
table/table_test.go::test::TestStyleFunc	test	missing		auto-generated
table/table_test.go::test::TestTable	test	missing		auto-generated
table/table_test.go::test::TestTableANSI	test	missing		auto-generated
table/table_test.go::test::TestTableBorder	test	missing		auto-generated
table/table_test.go::test::TestTableEmpty	test	missing		auto-generated
table/table_test.go::test::TestTableExample	test	missing		auto-generated
table/table_test.go::test::TestTableHeightExact	test	missing		auto-generated
table/table_test.go::test::TestTableHeightExtra	test	missing		auto-generated
table/table_test.go::test::TestTableHeightShrink	test	missing		auto-generated
table/table_test.go::test::TestTableHeightWithYOffset	test	missing		auto-generated
table/table_test.go::test::TestTableHeights	test	missing		auto-generated
table/table_test.go::test::TestTableMultiLineRowSeparator	test	missing		auto-generated
table/table_test.go::test::TestTableNoColumnSeparators	test	missing		auto-generated
table/table_test.go::test::TestTableNoColumnSeparatorsWithHeaders	test	missing		auto-generated
table/table_test.go::test::TestTableNoHeaders	test	missing		auto-generated
table/table_test.go::test::TestTableNoStyleFunc	test	missing		auto-generated
