# go_id	kind	status	crystal_refs	notes
table/table.go::type::StyleFunc	type	missing		heuristic-filter
table/table_test.go::test::TestBorderColumnsWithExtraRows	test	missing		heuristic-filter
table/table_test.go::test::TestBorderStyles	test	missing		heuristic-filter
table/table_test.go::test::TestBorderedCells	test	missing		heuristic-filter
table/table_test.go::test::TestCarriageReturn	test	missing		heuristic-filter
table/table_test.go::test::TestClearRows	test	missing		heuristic-filter
table/table_test.go::test::TestContentWrapping	test	missing		heuristic-filter
table/table_test.go::test::TestContentWrapping_ColumnWidth	test	missing		heuristic-filter
table/table_test.go::test::TestContentWrapping_WithMargins	test	missing		heuristic-filter
table/table_test.go::test::TestContentWrapping_WithPadding	test	missing		heuristic-filter
table/table_test.go::test::TestExtraPaddingHeading	test	missing		heuristic-filter
table/table_test.go::test::TestExtraPaddingHeadingLong	test	missing		heuristic-filter
table/table_test.go::test::TestFilter	test	missing		heuristic-filter
table/table_test.go::test::TestFilterInverse	test	missing		heuristic-filter
table/table_test.go::test::TestInnerBordersOnly	test	missing		heuristic-filter
table/table_test.go::test::TestMoreCellsThanHeaders	test	missing		heuristic-filter
table/table_test.go::test::TestMoreCellsThanHeadersExtra	test	missing		heuristic-filter
table/table_test.go::test::TestNew	test	missing		heuristic-filter
table/table_test.go::test::TestNoFinalEmptyRowWhenOverflow	test	missing		heuristic-filter
table/table_test.go::test::TestStyleFunc	test	missing		heuristic-filter
table/table_test.go::test::TestTable	test	missing		heuristic-filter
table/table_test.go::test::TestTableANSI	test	missing		heuristic-filter
table/table_test.go::test::TestTableBorder	test	missing		heuristic-filter
table/table_test.go::test::TestTableEmpty	test	missing		heuristic-filter
table/table_test.go::test::TestTableExample	test	missing		heuristic-filter
table/table_test.go::test::TestTableHeightExact	test	missing		heuristic-filter
table/table_test.go::test::TestTableHeightExtra	test	missing		heuristic-filter
table/table_test.go::test::TestTableHeightShrink	test	missing		heuristic-filter
table/table_test.go::test::TestTableHeightWithYOffset	test	missing		heuristic-filter
table/table_test.go::test::TestTableHeights	test	missing		heuristic-filter
table/table_test.go::test::TestTableMultiLineRowSeparator	test	missing		heuristic-filter
table/table_test.go::test::TestTableNoColumnSeparators	test	missing		heuristic-filter
table/table_test.go::test::TestTableNoColumnSeparatorsWithHeaders	test	missing		heuristic-filter
table/table_test.go::test::TestTableNoHeaders	test	missing		heuristic-filter
table/table_test.go::test::TestTableNoStyleFunc	test	missing		heuristic-filter
table/table_test.go::test::TestTableOverFlowNoWrap	test	missing		heuristic-filter
table/table_test.go::test::TestTableRowSeparators	test	missing		heuristic-filter
table/table_test.go::test::TestTableSetRows	test	missing		heuristic-filter
table/table_test.go::test::TestTableShrinkWithYOffset	test	missing		heuristic-filter
table/table_test.go::test::TestTableUnsetBorders	test	missing		heuristic-filter
table/table_test.go::test::TestTableUnsetHeaderSeparator	test	missing		heuristic-filter
table/table_test.go::test::TestTableUnsetHeaderSeparatorWithBorder	test	missing		heuristic-filter
table/table_test.go::test::TestTableWidthExpand	test	missing		heuristic-filter
table/table_test.go::test::TestTableWidthShrink	test	missing		heuristic-filter
table/table_test.go::test::TestTableWidthSmartCrop	test	missing		heuristic-filter
table/table_test.go::test::TestTableWidthSmartCropExtensive	test	missing		heuristic-filter
table/table_test.go::test::TestTableWidthSmartCropTiny	test	missing		heuristic-filter
table/table_test.go::test::TestTableWidths	test	missing		heuristic-filter
table/table_test.go::test::TestTableWithBackground	test	missing		heuristic-filter
table/table_test.go::test::TestTableYOffset	test	missing		heuristic-filter
table/table_test.go::test::TestWrapPreStyledContent	test	missing		heuristic-filter
table/table_test.go::test::TestWrapStyleFuncContent	test	missing		heuristic-filter
tree/enumerator.go::type::Enumerator	type	missing		heuristic-filter
tree/enumerator.go::type::Indenter	type	missing		heuristic-filter
